subject,session,block,trial,exposure,stimulus,valence,action,robot,rune,color,correct,choice,rt,accuracy,sham,outcome,totalkeys
0ubclurpshlgyru3cwo3stun,1,2,163,11,6,lose,go,gal,rune_01_ear,blue,1,1,0.462,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,164,11,8,win,go,gw,rune_01_ger,yellow,1,1,0.335,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,165,12,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,1.0,+1,0
0ubclurpshlgyru3cwo3stun,1,2,166,12,6,lose,go,gal,rune_01_ear,blue,1,1,0.37,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,167,12,8,win,go,gw,rune_01_ger,yellow,1,1,0.426,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,168,12,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,169,13,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,1.0,-10,0
0ubclurpshlgyru3cwo3stun,1,2,170,13,6,lose,go,gal,rune_01_ear,blue,1,1,0.491,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,171,13,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,172,13,8,win,go,gw,rune_01_ger,yellow,1,1,0.326,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,173,14,8,win,go,gw,rune_01_ger,yellow,1,1,0.504,1,0.0,+10,1
0ubclurpshlgyru3cwo3stun,1,2,174,14,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,175,14,6,lose,go,gal,rune_01_ear,blue,1,1,0.451,1,1.0,-10,1
0ubclurpshlgyru3cwo3stun,1,2,176,14,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,177,15,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,178,15,6,lose,go,gal,rune_01_ear,blue,1,1,0.366,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,179,15,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,180,15,8,win,go,gw,rune_01_ger,yellow,1,1,0.327,1,1.0,+1,1
0ubclurpshlgyru3cwo3stun,1,2,181,16,7,win,no-go,ngw,rune_01_yr,yellow,0,0,,1,0.0,+10,0
0ubclurpshlgyru3cwo3stun,1,2,182,16,5,lose,no-go,ngal,rune_01_ingwaz,blue,0,0,,1,0.0,-1,0
0ubclurpshlgyru3cwo3stun,1,2,183,16,6,lose,go,gal,rune_01_ear,blue,1,1,0.337,1,0.0,-1,1
0ubclurpshlgyru3cwo3stun,1,2,184,16,8,win,go,gw,rune_01_ger,yellow,1,1,0.311,1,0.0,+10,1
