name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[3,64]	-0.145	0.0306	0.674	-1.5	-0.141	1.18	484.0	0.0345	1.01
theta_d_pr[3,65]	-1.55	0.00916	0.592	-2.82	-1.52	-0.405	4171.0	0.297	1.0
theta_d_pr[3,66]	0.122	0.0329	0.771	-1.45	0.142	1.58	550.0	0.0391	1.01
theta_d_pr[3,67]	-0.297	0.0201	0.749	-1.78	-0.296	1.09	1390.0	0.0989	1.01
theta_d_pr[3,68]	-0.441	0.00925	0.666	-1.82	-0.427	0.814	5186.0	0.369	1.0
theta_d_pr[3,69]	0.0875	0.0102	0.703	-1.34	0.0766	1.46	4782.0	0.34	1.0
theta_d_pr[3,70]	0.649	0.012	0.653	-0.695	0.631	1.87	2947.0	0.21	1.0
theta_d_pr[3,71]	0.321	0.0153	0.68	-1.02	0.319	1.61	1986.0	0.141	1.0
theta_d_pr[3,72]	0.584	0.00973	0.695	-0.868	0.573	1.91	5103.0	0.363	1.0
theta_d_pr[3,73]	1.03	0.0163	0.606	-0.211	1.03	2.12	1390.0	0.0989	1.0
theta_d_pr[3,74]	0.131	0.0107	0.761	-1.4	0.107	1.6	5080.0	0.362	1.0
theta_d_pr[3,75]	-0.587	0.00647	0.427	-1.49	-0.578	0.184	4351.0	0.31	1.0
theta_d_pr[3,76]	-0.56	0.0357	0.751	-2.07	-0.555	0.84	441.0	0.0314	1.01
theta_d_pr[3,77]	0.844	0.0109	0.661	-0.49	0.839	2.07	3675.0	0.262	1.0
theta_d_pr[3,78]	-0.488	0.00902	0.557	-1.66	-0.474	0.559	3815.0	0.272	1.0
theta_d_pr[3,79]	-0.744	0.0278	0.734	-2.29	-0.737	0.565	695.0	0.0495	1.01
theta_d_pr[3,80]	0.519	0.0107	0.72	-0.987	0.52	1.89	4528.0	0.322	1.0
theta_d_pr[3,81]	-0.136	0.0103	0.707	-1.65	-0.115	1.21	4700.0	0.335	1.0
theta_d_pr[3,82]	-0.513	0.0111	0.614	-1.8	-0.511	0.647	3040.0	0.216	1.0
theta_d_pr[3,83]	-1.21	0.0132	0.606	-2.48	-1.2	-0.132	2117.0	0.151	1.01
theta_d_pr[3,84]	1.49	0.00984	0.553	0.383	1.48	2.56	3154.0	0.225	1.0
theta_d_pr[3,85]	-2.39	0.0494	0.638	-3.97	-2.34	-1.32	167.0	0.0119	1.03
theta_d_pr[3,86]	-0.829	0.0332	0.61	-2.08	-0.823	0.301	336.0	0.0239	1.01
theta_d_pr[3,87]	-0.544	0.0211	0.441	-1.44	-0.525	0.243	436.0	0.031	1.01
theta_d_pr[3,88]	0.199	0.026	0.698	-1.21	0.199	1.45	719.0	0.0511	1.01
theta_d_pr[3,89]	1.18	0.00888	0.56	0.0296	1.19	2.27	3976.0	0.283	1.0
theta_d_pr[3,90]	-1.05	0.0215	0.543	-2.16	-1.03	-0.0286	637.0	0.0453	1.01
theta_d_pr[3,91]	-0.189	0.0188	0.663	-1.57	-0.192	1.03	1238.0	0.0881	1.0
theta_d_pr[3,92]	1.05	0.0153	0.607	-0.204	1.06	2.18	1570.0	0.112	1.01
theta_d_pr[3,93]	-0.159	0.0104	0.515	-1.23	-0.151	0.748	2463.0	0.175	1.0
theta_d_pr[4,1]	0.272	0.00823	0.468	-0.691	0.282	1.15	3234.0	0.23	1.0
theta_d_pr[4,2]	1.09	0.0114	0.521	0.0557	1.09	2.11	2100.0	0.149	1.0
theta_d_pr[4,3]	0.827	0.0288	0.545	-0.245	0.823	1.83	359.0	0.0256	1.02
theta_d_pr[4,4]	0.491	0.00741	0.453	-0.448	0.467	1.33	3731.0	0.266	1.0
theta_d_pr[4,5]	-0.0138	0.00688	0.422	-0.912	-0.0093	0.771	3759.0	0.268	1.0
