	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
b1[2,67]	28.2	0.0784	5.68	18.1	27.8	40.2	5251.0	0.239	1.0
b1[1,68]	33.4	0.0873	6.28	22.0	32.9	46.6	5178.0	0.236	1.0
b1[2,68]	33.8	0.0835	6.25	22.4	33.4	46.6	5589.0	0.254	1.0
b1[1,69]	8.36	0.0691	3.22	4.22	7.71	16.1	2179.0	0.0991	1.0
b1[2,69]	8.3	0.0728	3.39	3.8	7.62	16.3	2171.0	0.0987	1.0
b1[1,70]	4.88	0.0765	3.16	1.6	3.93	12.8	1707.0	0.0777	1.0
b1[2,70]	4.83	0.0884	3.49	0.981	3.83	13.3	1563.0	0.0711	1.0
b1[1,71]	16.2	0.0394	3.04	10.6	15.9	22.5	5928.0	0.27	1.0
b1[2,71]	16.8	0.0395	3.11	11.2	16.6	23.3	6168.0	0.281	1.0
b1[1,72]	5.1	0.0339	1.63	2.91	4.83	8.44	2303.0	0.105	1.0
b1[2,72]	4.78	0.0408	1.9	2.33	4.41	8.96	2153.0	0.0979	1.0
b1[1,73]	6.37	0.0769	4.14	1.83	5.01	17.2	2893.0	0.132	1.0
b1[2,73]	6.45	0.0807	4.29	1.7	5.15	17.5	2831.0	0.129	1.0
b1[1,74]	10.3	0.0587	3.79	4.67	9.59	18.9	4163.0	0.189	1.0
b1[2,74]	10.7	0.056	3.65	5.43	10.1	18.9	4241.0	0.193	1.0
b1[1,75]	10.5	0.0527	3.21	5.56	9.95	17.6	3711.0	0.169	0.999
b1[2,75]	11.0	0.0558	3.32	5.51	10.6	18.4	3537.0	0.161	1.0
b1[1,76]	6.71	0.03	1.82	3.91	6.45	10.8	3680.0	0.167	1.0
b1[2,76]	6.11	0.0463	2.3	2.54	5.82	11.0	2455.0	0.112	1.0
b1[1,77]	5.53	0.0308	1.65	2.52	5.39	9.01	2892.0	0.132	1.0
b1[2,77]	6.4	0.0245	1.54	3.88	6.22	9.71	3949.0	0.18	1.0
b1[1,78]	3.51	0.0306	1.53	1.68	3.23	6.79	2505.0	0.114	1.0
b1[2,78]	2.8	0.0435	1.84	0.692	2.34	6.8	1785.0	0.0812	1.0
b1[1,79]	17.7	0.0704	5.08	9.38	17.0	28.8	5205.0	0.237	1.0
b1[2,79]	18.2	0.0676	4.95	10.3	17.5	29.2	5373.0	0.244	1.0
b1[1,80]	11.2	0.0818	4.8	4.68	10.1	22.4	3446.0	0.157	1.0
b1[2,80]	11.5	0.0821	4.88	4.5	10.5	23.1	3537.0	0.161	1.0
b1[1,81]	15.1	0.0842	5.09	6.58	14.5	26.1	3658.0	0.166	1.0
b1[2,81]	15.9	0.0789	4.92	7.84	15.3	26.7	3896.0	0.177	1.0
b1[1,82]	11.7	0.0806	5.01	4.99	10.7	23.2	3866.0	0.176	1.0
b1[2,82]	11.4	0.0952	5.47	2.9	10.5	23.6	3299.0	0.15	1.0
b1[1,83]	7.36	0.0895	3.47	2.22	7.15	14.5	1500.0	0.0682	1.0
b1[2,83]	8.24	0.0549	2.75	4.24	7.72	14.5	2506.0	0.114	1.0
b1[1,84]	5.51	0.0587	2.26	3.21	4.99	10.9	1487.0	0.0676	1.0
b1[2,84]	5.37	0.0611	2.47	2.45	4.84	11.1	1636.0	0.0744	1.0
b1[1,85]	22.9	0.076	5.55	13.5	22.4	34.6	5343.0	0.243	1.0
