name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_pr[5,70]	0.489	0.00727	0.581	-0.584	0.444	1.7	6376.0	3.43	1.0
theta_pr[5,71]	-0.681	0.00775	0.685	-1.99	-0.714	0.716	7806.0	4.2	1.0
theta_pr[5,72]	0.577	0.00764	0.702	-0.751	0.528	1.99	8448.0	4.54	1.0
theta_pr[5,73]	0.247	0.00578	0.443	-0.589	0.225	1.14	5883.0	3.16	1.0
theta_pr[5,74]	-1.01	0.00915	0.684	-2.31	-1.05	0.354	5589.0	3.01	1.0
theta_pr[5,75]	0.467	0.00806	0.797	-1.1	0.432	2.03	9777.0	5.26	1.0
theta_pr[5,76]	-0.337	0.00684	0.498	-1.3	-0.352	0.637	5304.0	2.85	1.0
theta_pr[5,77]	-0.1	0.00884	0.764	-1.56	-0.133	1.44	7466.0	4.02	0.999
theta_pr[5,78]	-0.907	0.0091	0.79	-2.47	-0.94	0.689	7544.0	4.06	0.999
theta_pr[5,79]	-0.00857	0.00822	0.721	-1.41	-0.0369	1.4	7693.0	4.14	1.0
theta_pr[5,80]	-0.114	0.00888	0.716	-1.52	-0.133	1.27	6507.0	3.5	1.0
theta_pr[5,81]	0.521	0.00717	0.59	-0.562	0.488	1.72	6772.0	3.64	1.0
theta_pr[5,82]	0.195	0.00714	0.656	-1.15	0.185	1.48	8443.0	4.54	1.0
theta_pr[5,83]	-0.4	0.0107	0.93	-2.26	-0.42	1.37	7583.0	4.08	1.0
theta_pr[5,84]	-0.0916	0.00682	0.574	-1.2	-0.123	1.08	7087.0	3.81	1.0
theta_pr[5,85]	-0.629	0.00697	0.497	-1.61	-0.636	0.317	5079.0	2.73	1.0
theta_pr[5,86]	-2.66	0.0162	0.791	-4.03	-2.74	-0.75	2400.0	1.29	1.0
theta_pr[5,87]	-0.717	0.00954	0.866	-2.38	-0.75	0.986	8251.0	4.44	1.0
theta_pr[5,88]	0.458	0.00828	0.693	-0.879	0.439	1.82	7012.0	3.77	1.0
theta_pr[5,89]	-0.418	0.00838	0.694	-1.81	-0.445	1.03	6864.0	3.69	1.0
theta_pr[5,90]	0.577	0.00886	0.846	-1.14	0.57	2.18	9130.0	4.91	1.0
theta_pr[5,91]	0.86	0.00781	0.762	-0.71	0.857	2.36	9526.0	5.12	1.0
theta_pr[5,92]	0.601	0.00662	0.581	-0.49	0.569	1.79	7697.0	4.14	1.0
theta_pr[5,93]	1.02	0.00798	0.599	-0.0724	0.974	2.25	5635.0	3.03	1.0
theta_pr[5,94]	-0.395	0.00918	0.898	-2.23	-0.402	1.32	9570.0	5.15	1.0
theta_pr[5,95]	0.368	0.0129	0.963	-1.52	0.337	2.25	5570.0	3.0	0.999
theta_pr[5,96]	-0.199	0.00687	0.554	-1.25	-0.239	0.956	6512.0	3.5	0.999
theta_pr[5,97]	-0.106	0.0071	0.584	-1.3	-0.126	1.04	6767.0	3.64	1.0
theta_pr[5,98]	-0.994	0.00854	0.759	-2.49	-1.02	0.511	7910.0	4.26	0.999
theta_pr[5,99]	-0.134	0.00675	0.559	-1.21	-0.154	1.01	6865.0	3.69	1.0
sigma[1]	0.452	0.00111	0.0479	0.365	0.449	0.55	1845.0	0.993	1.0
sigma[2]	0.0848	0.000184	0.00812	0.0693	0.0844	0.102	1952.0	1.05	1.0
sigma[3]	0.0942	0.000211	0.0104	0.074	0.0939	0.115	2451.0	1.32	1.0
sigma[4]	0.659	0.00189	0.0737	0.517	0.655	0.807	1514.0	0.814	1.0
sigma[5]	0.328	0.00126	0.0488	0.23	0.326	0.423	1509.0	0.812	1.0
b1[1]	4.79	0.0558	3.32	0.67	4.02	12.8	3546.0	1.91	1.0
b1[2]	5.21	0.0331	1.9	2.71	4.77	9.68	3314.0	1.78	1.0
b1[3]	12.6	0.0333	2.41	8.3	12.4	17.6	5260.0	2.83	0.999
b1[4]	4.56	0.0575	3.44	0.333	3.73	12.5	3590.0	1.93	1.0
b1[5]	5.41	0.0318	1.62	3.12	5.11	9.16	2607.0	1.4	1.0
b1[6]	3.96	0.0072	0.563	2.89	3.93	5.11	6122.0	3.29	1.0
b1[7]	7.22	0.0337	2.15	3.84	6.87	12.1	4066.0	2.19	1.0
b1[8]	9.14	0.0388	2.6	5.12	8.74	14.9	4490.0	2.41	1.0
b1[9]	14.5	0.0355	2.62	9.91	14.2	20.0	5460.0	2.94	1.0
b1[10]	6.67	0.0127	1.0	4.85	6.62	8.74	6215.0	3.34	0.999
b1[11]	13.5	0.0359	2.55	9.01	13.3	18.8	5031.0	2.71	1.0
b1[12]	3.52	0.0414	2.12	1.24	2.88	9.11	2608.0	1.4	1.0
b1[13]	2.52	0.0505	1.97	0.954	1.85	8.14	1521.0	0.818	1.0
b1[14]	7.49	0.042	2.37	4.18	7.0	13.2	3200.0	1.72	1.0
b1[15]	3.39	0.0668	3.06	0.492	2.21	11.3	2100.0	1.13	1.0
b1[16]	8.98	0.0274	1.76	6.07	8.78	12.8	4098.0	2.2	1.0
b1[17]	5.91	0.0513	2.89	2.03	5.21	12.5	3180.0	1.71	1.0
b1[18]	7.93	0.0471	3.07	3.15	7.46	14.7	4230.0	2.28	1.0
b1[19]	7.08	0.0467	2.69	3.29	6.54	13.4	3328.0	1.79	1.0
b1[20]	12.6	0.0323	2.42	8.36	12.3	17.7	5602.0	3.01	0.999
b1[21]	7.13	0.0479	3.2	2.15	6.69	14.1	4449.0	2.39	1.0
b1[22]	3.77	0.012	0.82	2.42	3.69	5.52	4659.0	2.51	1.0
b1[23]	11.9	0.0305	2.27	8.01	11.7	16.7	5558.0	2.99	1.0
b1[24]	9.36	0.0436	2.81	4.82	8.98	15.4	4144.0	2.23	1.0
b1[25]	2.75	0.0183	0.766	1.64	2.62	4.33	1750.0	0.942	1.0
b1[26]	9.65	0.0374	2.28	6.12	9.33	14.6	3722.0	2.0	1.0
b1[27]	5.2	0.0507	3.03	1.22	4.48	12.3	3580.0	1.93	1.0
b1[28]	6.1	0.0574	3.65	0.777	5.55	13.9	4038.0	2.17	1.0
b1[29]	4.44	0.0553	2.88	1.15	3.56	11.6	2704.0	1.45	1.0
