name	Mean	MCSE	StdDev	2.5%	50%	97.5%	N_Eff	N_Eff/s	R_hat
theta_d_pr[1,7]	-0.199	0.00766	0.58	-1.35	-0.22	0.987	5723.0	1.75	1.0
theta_d_pr[1,8]	-0.0912	0.0103	0.968	-2.02	-0.101	1.74	8808.0	2.69	1.0
theta_d_pr[1,9]	0.525	0.0112	0.883	-1.32	0.516	2.21	6257.0	1.91	1.0
theta_d_pr[1,10]	0.659	0.00914	0.634	-0.535	0.61	1.95	4807.0	1.47	1.0
theta_d_pr[1,11]	0.0314	0.00963	0.971	-1.95	0.0287	1.85	10161.0	3.1	0.999
theta_d_pr[1,12]	0.0331	0.00662	0.453	-0.819	0.0109	0.968	4690.0	1.43	1.0
theta_d_pr[1,13]	-0.042	0.00943	1.0	-2.12	-0.0537	1.84	11353.0	3.47	1.0
theta_d_pr[1,14]	-0.873	0.0114	0.805	-2.45	-0.905	0.66	5012.0	1.53	1.0
theta_d_pr[1,15]	-0.403	0.00966	0.926	-2.32	-0.421	1.33	9189.0	2.81	1.0
theta_d_pr[1,16]	-0.147	0.00984	0.953	-2.12	-0.142	1.67	9394.0	2.87	0.999
theta_d_pr[1,17]	0.146	0.0093	0.946	-1.81	0.141	1.9	10352.0	3.16	0.999
theta_d_pr[1,18]	0.334	0.01	0.976	-1.67	0.32	2.17	9487.0	2.9	1.0
theta_d_pr[1,19]	0.138	0.0103	0.965	-1.82	0.116	1.97	8721.0	2.66	1.0
theta_d_pr[1,20]	0.295	0.0101	0.967	-1.73	0.273	2.1	9239.0	2.82	1.0
theta_d_pr[1,21]	-0.0286	0.00931	1.0	-2.07	-0.0168	1.85	11619.0	3.55	1.0
theta_d_pr[1,22]	0.105	0.00955	0.966	-1.89	0.0943	1.91	10247.0	3.13	1.0
theta_d_pr[1,23]	0.00312	0.0099	0.911	-1.93	0.0136	1.68	8463.0	2.58	1.0
theta_d_pr[1,24]	0.18	0.0104	0.926	-1.81	0.202	1.92	7963.0	2.43	1.0
theta_d_pr[1,25]	-0.458	0.0102	0.977	-2.51	-0.453	1.39	9117.0	2.78	1.0
theta_d_pr[1,26]	-0.127	0.0101	0.963	-2.12	-0.149	1.71	9156.0	2.8	1.0
